2021-11-24/12:00:51		 AQI_86.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_94.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_95.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_97.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_98.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_99.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_08.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_09.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_10.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_11.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_12.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_14.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_15.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_26.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_27.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_35.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_36.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_38.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_39.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_40.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_41.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_42.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_47.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_50.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_51.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_52.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_53.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_54.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_55.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_66.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_67.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_80.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_86.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_94.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_95.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_97.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_98.csv: File Transformed successfully!!
2021-11-24/12:27:55		 AQI_99.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_08.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_09.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_10.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_11.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_12.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_14.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_15.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_26.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_27.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_35.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_36.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_38.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_39.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_40.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_41.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_42.csv: File Transformed successfully!!
2021-11-24/22:24:00		 AQI_47.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_50.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_51.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_52.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_53.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_54.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_55.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_66.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_67.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_80.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_86.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_94.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_95.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_97.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_98.csv: File Transformed successfully!!
2021-11-24/22:24:01		 AQI_99.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_08.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_09.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_10.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_11.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_12.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_14.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_15.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_26.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_27.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_35.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_36.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_38.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_39.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_40.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_41.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_42.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_47.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_50.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_51.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_52.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_53.csv: File Transformed successfully!!
